,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
42,"Algo Mais (Amante) - Ao Vivo","Xand Avião",2100709,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
43,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",2083628,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
44,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",2068886,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
45,"Espaçosa Demais - Ao Vivo","Felipe Araújo",2050161,https://open.spotify.com/track/4lEw9Id7kLDSJ6KRdaenM9
46,"A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília","Diego & Victor Hugo",2009692,https://open.spotify.com/track/4gDvg62vG96w0qJaF6wzcd
47,"Fake News - Ao Vivo","Gustavo Mioto",1972594,https://open.spotify.com/track/1G60NjxeOS7veR1EXuKPaW
48,"Amor de Que","Pabllo Vittar",1954405,https://open.spotify.com/track/7yYsyXQa2JgbyL9fkEiUNt
49,"Kenny G",Matuê,1928520,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
50,"Solteiro Não Trai - Ao Vivo","Gustavo Mioto",1897907,https://open.spotify.com/track/7oEr56KG6odStlQH0nvdyr
51,"Vidrado Em Você","Dj Guuga",1687687,https://open.spotify.com/track/2kOmW169C7UV4SZDN9u0YO
52,Señorita,"Shawn Mendes",1660824,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
53,Complicado,Vitão,1658819,https://open.spotify.com/track/52vPpP2gEYaBROIS77J38P
54,"Vem Me Satisfazer","MC Ingryd",1644431,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
55,Pupila,ANAVITÓRIA,1625570,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
56,"Resenha lá em casa","MC Kevin o Chris",1593734,https://open.spotify.com/track/3NnW2EqJxvHYrRy3upaznl
57,"Fingindo Maturidade - Ao Vivo","Mano Walter",1572425,https://open.spotify.com/track/3tU3UAasaDA9OixXGC3O33
58,"Nem de Graça / Saudade Arregaça - Ao Vivo",Pixote,1533794,https://open.spotify.com/track/3rDAHk73LZmgJIyGZstWQ0
59,Cobaia,"Lauana Prado",1528731,https://open.spotify.com/track/1xyVMQx51Kab6eLVtE6twx
