,Unnamed: 0,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre,release date
0,0,1,1,Despacito (Featuring Daddy Yankee),Luis Fonsi,938159,4aWmUDTfIPGksMNLV2rQP2,0.66,0.7859999999999999,2,-4.757,1,0.17,0.209,0.0,0.11199999999999999,0.846,177.833,4,228200,Pop,2017-01-13
1,1,2,2,Shape of You,Ed Sheeran,877431,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,4,233713,Pop,2017-03-03
2,2,3,3,Something Just Like This,The Chainsmokers,737443,6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.4400000000000001e-05,0.16399999999999998,0.446,103.01899999999999,4,247160,Dance,2017-04-07
3,3,4,4,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,703668,7nKBxz47S9SD79N086fuhn,0.684,0.823,9,-3.2969999999999997,0,0.0773,0.0744,0.0,0.111,0.647,91.04799999999999,4,208163,Pop Latino,2017-02-24
4,4,5,5,Despacito - Remix,Luis Fonsi,695183,5CtI0qwDJkDQGwXD1H1cLb,0.6940000000000001,0.815,2,-4.328,1,0.12,0.22899999999999998,0.0,0.0924,0.813,88.931,4,228827,Pop,2017-04-17
5,5,6,6,Believer,Imagine Dragons,618440,0CcQNd8CINkwQfe1RDtGV6,0.779,0.787,10,-4.305,0,0.10800000000000001,0.0524,0.0,0.14,0.708,124.98200000000001,4,204347,Alternative,2017-06-23
6,6,7,7,Symphony (feat. Zara Larsson),Clean Bandit,576147,1x5sYLZiu9r5E43kMlt9f8,0.7070000000000001,0.629,0,-4.581,0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4,212459,Dance,2017-03-16
7,7,8,8,It Ain't Me (with Selena Gomez),Kygo,562870,3eR23VReFzcdmS7TYCrhCe,0.64,0.5329999999999999,0,-6.596,1,0.0706,0.11900000000000001,0.0,0.0864,0.515,99.96799999999999,4,220781,Pop,2017-02-16
8,8,9,9,You Don't Know Me - Radio Edit,Jax Jones,551297,00lNx0OcTJrS3MKHcB80HY,0.8759999999999999,0.669,11,-6.053999999999999,0,0.138,0.163,0.0,0.185,0.682,124.007,4,213947,Alternative,2016-12-09
9,9,10,10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,481150,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.0680000000000005,0,0.0523,0.406,0.0,0.18,0.742,101.965,4,251088,Dance,2016-10-21
10,10,11,11,Occidentali's Karma - Radio Edit,Francesco Gabbani,458666,00wxIcA1PPbqEzATkHT4e1,0.6679999999999999,0.8340000000000001,10,-3.997,1,0.0758,0.0428,3.23e-06,0.10400000000000001,0.565,114.07,4,217613,Pop,2017-04-28
11,11,12,12,Cold,Maroon 5,452970,5NNlUMcOEOdoOIwwaWXv0k,0.703,0.715,9,-6.285,0,0.114,0.139,0.0,0.0456,0.49700000000000005,99.92399999999999,4,234308,Pop,2017-02-14
